generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1765920768-dWQUnQdi5cCcBDAV8fGM,2025-12-16 21:32:47.984,0.001031,,-0.000022,0,0,3711,625,622,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,8429,8421,,trabalho-deep-learning-mestrado
gen-1765920750-DvEKB2mmj8mMFAwNfU43,2025-12-16 21:32:30.317,0.001579,,-0.000022,0,0,5123,1155,1152,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,17620,17603,,trabalho-deep-learning-mestrado
gen-1765920742-lg5puyO1KNSINkpgmD7f,2025-12-16 21:32:22.801,0.001483,,-0.000039,0,0,6327,515,512,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,7465,7460,,trabalho-deep-learning-mestrado
gen-1765920737-soXIWu3TZyRFRar8LbwJ,2025-12-16 21:32:17.010,0.000823,,-0.000041,0,0,2945,551,548,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,5750,5727,,trabalho-deep-learning-mestrado
gen-1765920728-Biz3ZR0l90Xg2ksMCbis,2025-12-16 21:32:08.898,0.002211,,-0.000051,0,0,9499,726,723,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,8046,8025,,trabalho-deep-learning-mestrado
gen-1765920704-aXh02O4ImB1yuTZr4Lxc,2025-12-16 21:31:44.927,0.001503,,-0.000042,0,0,5258,989,986,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,23918,23884,,trabalho-deep-learning-mestrado
gen-1765920697-J5kZ8yRhxXirRXCqz2ph,2025-12-16 21:31:37.590,0.001746,,-0.000022,0,0,7302,617,614,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,7169,7140,,trabalho-deep-learning-mestrado
gen-1765920686-7dF3JevJDGbFwsS6ryoU,2025-12-16 21:31:26.445,0.001515,,-0.000022,0,0,5396,918,915,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,11099,11077,,trabalho-deep-learning-mestrado
gen-1765920676-8301poVqStUOq2JUWxjN,2025-12-16 21:31:16.174,0.001083,,-0.000022,0,0,3024,1003,1000,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,10191,10187,,trabalho-deep-learning-mestrado
gen-1765920666-4S2Ot66O3y0xr9UjltOp,2025-12-16 21:31:06.691,0.001119,,-0.000022,0,0,4232,591,588,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,9435,9409,,trabalho-deep-learning-mestrado
gen-1765920659-AxnTsdedKYyawx4bncIP,2025-12-16 21:30:59.559,0.001012,,-0.000022,0,0,3681,597,594,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,6970,6945,,trabalho-deep-learning-mestrado
gen-1765920645-yoy8cmOfgxWJPukWeFUZ,2025-12-16 21:30:45.433,0.001581,,-0.000022,0,0,5563,984,981,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,14082,14061,,trabalho-deep-learning-mestrado
gen-1765920635-j8wd2VDjxXG6TGA0i3ZL,2025-12-16 21:30:35.753,0.001602,,-0.000022,0,0,6514,644,641,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,9606,9584,,trabalho-deep-learning-mestrado
gen-1765920624-jwZFrDRdyxc3q3D3fnWv,2025-12-16 21:30:24.928,0.001113,,-0.000022,0,0,3637,817,814,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,10505,10481,,trabalho-deep-learning-mestrado
gen-1765920613-snJ36Ii5kr9rfFHFySyh,2025-12-16 21:30:13.714,0.001305,,-0.000022,0,0,5123,607,604,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,11150,10043,,trabalho-deep-learning-mestrado
gen-1765920605-PaVR2SXB1DodRR8bS8SO,2025-12-16 21:30:05.934,0.001088,,-0.000022,0,0,3955,641,638,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,7720,7697,,trabalho-deep-learning-mestrado
gen-1765920596-EbzEshFK15NeW2jIeVqi,2025-12-16 21:29:56.441,0.001751,,-0.000041,0,0,7117,738,735,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,9438,9417,,trabalho-deep-learning-mestrado
gen-1765920586-7sQcGx7LA4SF2veBsuuv,2025-12-16 21:29:46.239,0.00097,,-0.000022,0,0,3346,647,644,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,10042,10015,,trabalho-deep-learning-mestrado
gen-1765920574-WAraQYpGYcIzRFbVg5rh,2025-12-16 21:29:34.165,0.001406,,-0.000022,0,0,4898,899,896,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,12031,12006,,trabalho-deep-learning-mestrado
gen-1765920559-5KwP10Avbdh1vFJYqNcX,2025-12-16 21:29:19.480,0.001423,,-0.000039,0,0,5097,887,884,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,14636,14621,,trabalho-deep-learning-mestrado
gen-1765920547-k2CzbcwJvgRkLfcJuTHf,2025-12-16 21:29:07.803,0.001122,,-0.000022,0,0,4192,614,611,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,11521,11513,,trabalho-deep-learning-mestrado
gen-1765920537-7Q4ourbk50iHUrVqe2ha,2025-12-16 21:28:57.572,0.000981,,-0.000022,0,0,2973,820,817,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,10184,10163,,trabalho-deep-learning-mestrado
gen-1765920527-RDCL6lDwno5e4yyP3xrY,2025-12-16 21:28:47.656,0.000953,,-0.000022,0,0,3199,672,669,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,9871,9857,,trabalho-deep-learning-mestrado
gen-1765920514-MclFLsljeWez4AnZnACC,2025-12-16 21:28:34.882,0.001409,,-0.000051,0,0,5012,917,914,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,12620,12602,,trabalho-deep-learning-mestrado
gen-1765920505-6vq5Xv96DZ6IojrIJNkN,2025-12-16 21:28:25.609,0.001317,,-0.000022,0,0,4815,755,752,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,9225,9202,,trabalho-deep-learning-mestrado
gen-1765920496-uErBsEHpeOr0zJMsBeFT,2025-12-16 21:28:16.899,0.001073,,-0.000039,0,0,4002,625,622,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,8661,8660,,trabalho-deep-learning-mestrado
gen-1765920488-6qR2xm2Zc4LwTOWYT3XZ,2025-12-16 21:28:08.082,0.000646,,-0.000022,0,0,1704,657,654,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,8776,8752,,trabalho-deep-learning-mestrado
gen-1765920480-Xc2K3W26AIdp2ebhTTVS,2025-12-16 21:28:00.281,0.000539,,-0.000022,0,0,1315,598,595,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,7746,7721,,trabalho-deep-learning-mestrado
gen-1765920470-KFzaUHfsRc5Heldd88sJ,2025-12-16 21:27:50.016,0.001357,,-0.000042,0,0,5065,775,772,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,10216,10191,,trabalho-deep-learning-mestrado
gen-1765920455-xmzJSGqRlZ3rLymR0AJa,2025-12-16 21:27:35.800,0.00136,,-0.000022,0,0,4873,817,814,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,14164,14135,,trabalho-deep-learning-mestrado
gen-1765920446-nECnkaFlp3AwadyT7Nfl,2025-12-16 21:27:26.336,0.001192,,-0.000022,0,0,4479,638,635,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,9400,9397,,trabalho-deep-learning-mestrado
gen-1765920432-uaUMYf7orB0THtiCUhY4,2025-12-16 21:27:12.968,0.001728,,-0.000022,0,0,6474,912,909,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,13294,13263,,trabalho-deep-learning-mestrado
gen-1765920420-xocfE4OUsTR6PmKsytnT,2025-12-16 21:27:00.575,0.001252,,-0.000022,0,0,3994,952,949,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,12351,12326,,trabalho-deep-learning-mestrado
gen-1765920411-YdiXAIfKHgDbTG9lXgV4,2025-12-16 21:26:51.791,0.000822,,-0.000039,0,0,2831,591,588,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,8637,8501,,trabalho-deep-learning-mestrado
gen-1765920404-a8G61GXzWPF6f3OcD3wg,2025-12-16 21:26:44.935,0.001168,,-0.000022,0,0,4427,611,608,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,6814,6809,,trabalho-deep-learning-mestrado
gen-1765920395-s5UEvMPSflH2qMy50hYE,2025-12-16 21:26:35.193,0.00148,,-0.000022,0,0,5676,735,732,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,9688,9664,,trabalho-deep-learning-mestrado
gen-1765920387-isdenEKeWcgiQAunp0M9,2025-12-16 21:26:27.191,0.000921,,-0.000042,0,0,3304,606,603,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,7960,7930,,trabalho-deep-learning-mestrado
gen-1765920377-N7sjALGhIxER2SuUOuaq,2025-12-16 21:26:17.636,0.000821,,-0.000022,0,0,2977,497,494,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,9395,9372,,trabalho-deep-learning-mestrado
gen-1765920365-Cu90iciK91d3p0mr9DcL,2025-12-16 21:26:05.104,0.001164,,-0.000022,0,0,3791,857,854,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,12485,12458,,trabalho-deep-learning-mestrado
gen-1765920354-HlNCBmOikqm1x1WG1WW2,2025-12-16 21:25:54.365,0.001504,,-0.000022,0,0,5984,661,658,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,10684,10660,,trabalho-deep-learning-mestrado
gen-1765920339-QEPo2CuSctRJKR2wZaxE,2025-12-16 21:25:39.957,0.001296,,-0.000022,0,0,3796,1120,1117,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,14344,14325,,trabalho-deep-learning-mestrado
gen-1765920328-lPr60cddpsbUprZ68vwO,2025-12-16 21:25:28.305,0.001306,,-0.000022,0,0,4171,990,987,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,11598,11572,,trabalho-deep-learning-mestrado
gen-1765920316-rN4UZaRzkwAUbEYraAGM,2025-12-16 21:25:16.702,0.001138,,-0.000022,0,0,3583,889,886,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,11554,11532,,trabalho-deep-learning-mestrado
gen-1765920303-vEKXNV2Z4QqtSqnqvAlN,2025-12-16 21:25:03.398,0.001456,,-0.000022,0,0,5519,750,747,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,13057,13032,,trabalho-deep-learning-mestrado
gen-1765920292-gTTKatOPPlt15fDjK8aV,2025-12-16 21:24:52.008,0.001341,,-0.000041,0,0,5171,697,694,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,11346,11322,,trabalho-deep-learning-mestrado
gen-1765920281-23ZaXKd6pNNACVvc7Idw,2025-12-16 21:24:41.367,0.001457,,-0.000022,0,0,5000,960,957,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,10597,10576,,trabalho-deep-learning-mestrado
gen-1765920271-fxZKQoVkqKMpj0ynQwmY,2025-12-16 21:24:31.788,0.001159,,-0.000022,0,0,4302,643,640,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,9429,9411,,trabalho-deep-learning-mestrado
gen-1765920263-dxU81QOUIoEA8cypp6B3,2025-12-16 21:24:23.773,0.001365,,-0.000022,0,0,5597,537,534,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,7970,7946,,trabalho-deep-learning-mestrado
gen-1765920249-WI7gYnZZNJtRolueNZox,2025-12-16 21:24:09.377,0.001797,,-0.000022,0,0,6916,874,871,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,14340,14316,,trabalho-deep-learning-mestrado
gen-1765920235-y0dwPrQjKJcX4fwcuYv7,2025-12-16 21:23:55.879,0.000808,,-0.000022,0,0,2841,526,523,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,13348,13348,,trabalho-deep-learning-mestrado
gen-1765920228-bsBWO2uTbNx5rRwjJk4p,2025-12-16 21:23:48.903,0.001183,,-0.000022,0,0,4589,577,574,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,6926,6906,,trabalho-deep-learning-mestrado
gen-1765920221-or9Gi6tm2DYxxQ2K0T6h,2025-12-16 21:23:41.260,0.001189,,-0.000042,0,0,4675,595,592,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,7596,7589,,trabalho-deep-learning-mestrado
gen-1765920209-Ga4rlv1B4rdnjf32BOHI,2025-12-16 21:23:29.692,0.001576,,-0.000039,0,0,5966,845,842,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,11519,11496,,trabalho-deep-learning-mestrado
gen-1765920199-PKYVt0xQ4sR6igXboJBj,2025-12-16 21:23:19.097,0.001333,,-0.000022,0,0,4378,961,958,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,10448,10442,,trabalho-deep-learning-mestrado
gen-1765920188-rOI45L65Ujh2cIMvtk6P,2025-12-16 21:23:08.521,0.001515,,-0.000022,0,0,5766,771,768,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,10521,10514,,trabalho-deep-learning-mestrado
gen-1765920179-rrD3RnxoRVWTJC7NgVyh,2025-12-16 21:22:59.318,0.001182,,-0.000022,0,0,4117,763,760,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,9149,9123,,trabalho-deep-learning-mestrado
gen-1765920168-PEBBa15KynXtq0HBDNZO,2025-12-16 21:22:48.240,0.001302,,-0.000042,0,0,4009,1087,1084,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,11028,11006,,trabalho-deep-learning-mestrado
gen-1765920159-4kYrJVda4i6NasnSrx6B,2025-12-16 21:22:39.215,0.001437,,-0.000039,0,0,5564,729,726,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,8970,8950,,trabalho-deep-learning-mestrado
gen-1765920150-9a7WLc3ntEUwko3kWwOP,2025-12-16 21:22:30.444,0.001533,,-0.000022,0,0,5641,856,853,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,8726,8706,,trabalho-deep-learning-mestrado
gen-1765920136-H8eYzgZunNQ7t0YIEiEl,2025-12-16 21:22:16.196,0.001742,,-0.000022,0,0,6730,838,835,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,14204,14177,,trabalho-deep-learning-mestrado
gen-1765920126-TIWfpwLe1OVKhdPS5UNP,2025-12-16 21:22:06.699,0.001044,,-0.000054,0,0,3257,894,891,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,9442,9403,,trabalho-deep-learning-mestrado
gen-1765920117-OSauLZPY53QBfZZhbfGY,2025-12-16 21:21:57.350,0.000959,,-0.000022,0,0,3166,698,695,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,9305,9271,,trabalho-deep-learning-mestrado
gen-1765920105-bvaJMmvC6WgnEtCPRxSK,2025-12-16 21:21:45.746,0.001442,,-0.000022,0,0,5126,880,877,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,11498,11472,,trabalho-deep-learning-mestrado
gen-1765920095-yQiMziwU0i1uap9doZNR,2025-12-16 21:21:35.462,0.000916,,-0.000022,0,0,3060,654,651,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,10112,10081,,trabalho-deep-learning-mestrado
gen-1765920082-iuOx0S74K0bl8DnR62HX,2025-12-16 21:21:22.027,0.001455,,-0.000022,0,0,5101,917,914,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,13389,13372,,trabalho-deep-learning-mestrado
gen-1765920073-PggB4INcfpl8cGOOgBNm,2025-12-16 21:21:13.473,0.00106,,-0.000051,0,0,3222,935,932,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,8505,8482,,trabalho-deep-learning-mestrado
gen-1765920063-zDoIhoR0ha7977GnyEiJ,2025-12-16 21:21:03.578,0.00132,,-0.000041,0,0,5222,634,631,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,9852,9847,,trabalho-deep-learning-mestrado
gen-1765920057-hKV3C9SL9nZLDrg0uY2H,2025-12-16 21:20:56.952,0.001125,,-0.000022,0,0,4196,619,616,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,6472,6448,,trabalho-deep-learning-mestrado
gen-1765920045-tto7hXiH1sUtkupQDCC9,2025-12-16 21:20:45.002,0.002105,,-0.000022,0,0,8296,938,935,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,11900,11878,,trabalho-deep-learning-mestrado
gen-1765920027-kSGefcAL15aXCT4T4LWN,2025-12-16 21:20:27.341,0.001649,,-0.000022,0,0,5281,1232,1229,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,17616,17594,,trabalho-deep-learning-mestrado
gen-1765920019-SWZFJUY35izpWlSHhVy2,2025-12-16 21:20:19.299,0.001114,,-0.000022,0,0,4170,607,604,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,7892,7864,,trabalho-deep-learning-mestrado
gen-1765920010-9KY94ZreAmUmMUHK2JVX,2025-12-16 21:20:10.132,0.001021,,-0.000039,0,0,3729,630,627,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,9118,9089,,trabalho-deep-learning-mestrado
gen-1765919998-86BFWud2d52qx5493fnq,2025-12-16 21:19:58.666,0.001822,,-0.000039,0,0,7862,579,576,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,11407,11380,,trabalho-deep-learning-mestrado
gen-1765919986-a9shG34j2vcT0jAG7LDW,2025-12-16 21:19:46.311,0.001326,,-0.000039,0,0,4573,902,899,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,12301,12282,,trabalho-deep-learning-mestrado
gen-1765919970-fJtSqp3gIc5akWvEl7jd,2025-12-16 21:19:30.745,0.001442,,-0.000022,0,0,4046,1313,1310,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,15513,15486,,trabalho-deep-learning-mestrado
gen-1765919946-ki2qFH8jC89wjMa5EZdq,2025-12-16 21:19:06.679,0.001666,,-0.000022,0,0,4190,1703,1700,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,23906,23883,,trabalho-deep-learning-mestrado
gen-1765919937-Kmc10tYx3xEZ6Sld6wAH,2025-12-16 21:18:57.930,0.001128,,-0.000039,0,0,4282,623,620,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,8699,8674,,trabalho-deep-learning-mestrado
gen-1765919922-uRFC1DZEuYc1AUPeyhU3,2025-12-16 21:18:42.840,0.001746,,-0.000022,0,0,6677,867,864,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,15031,15008,,trabalho-deep-learning-mestrado
gen-1765919911-sLSI3tWZrTlE3T2fFo65,2025-12-16 21:18:31.787,0.00096,,-0.000039,0,0,3151,739,736,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,10984,10954,,trabalho-deep-learning-mestrado
gen-1765919900-84NCMzCu7SFlLgUyYALK,2025-12-16 21:18:20.127,0.001476,,-0.000022,0,0,5733,705,702,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,11607,11581,,trabalho-deep-learning-mestrado
gen-1765919886-CrPcqLmn3txjOzub7Z6n,2025-12-16 21:18:06.699,0.001639,,-0.000022,0,0,5759,1020,1017,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,13385,13357,,trabalho-deep-learning-mestrado
gen-1765919874-VR15xPOudPoXnxrNtSlS,2025-12-16 21:17:54.457,0.001314,,-0.000054,0,0,4937,763,760,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,12193,12166,,trabalho-deep-learning-mestrado
gen-1765919866-W6Cp6wUELIg2m2BWv6Np,2025-12-16 21:17:46.147,0.001119,,-0.000022,0,0,4247,586,583,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,8265,8224,,trabalho-deep-learning-mestrado
gen-1765919861-Wo2tLXFXAnKLkSY9Ck0J,2025-12-16 21:17:41.460,0.001125,,-0.000041,0,0,4539,518,515,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,4627,4602,,trabalho-deep-learning-mestrado
gen-1765919852-pYO87oeK7gA3keYGc1Vk,2025-12-16 21:17:32.567,0.001591,,-0.000054,0,0,5891,936,933,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,8838,8816,,trabalho-deep-learning-mestrado
gen-1765919840-IgVTOp0DhayXVgLiudqg,2025-12-16 21:17:20.243,0.001415,,-0.000022,0,0,5408,714,711,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,12163,12136,,trabalho-deep-learning-mestrado
gen-1765919823-URml1kWqUjCJfCIqQEA5,2025-12-16 21:17:03.427,0.001392,,-0.000022,0,0,4765,924,921,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,16765,16746,,trabalho-deep-learning-mestrado
gen-1765919810-x0W2NSLw0irh9Cmat4xt,2025-12-16 21:16:50.440,0.001821,,-0.000051,0,0,7187,870,867,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,12946,12834,,trabalho-deep-learning-mestrado
gen-1765919795-ZEweIe883ZUkqbGr4xr9,2025-12-16 21:16:35.631,0.001665,,-0.000041,0,0,5885,1059,1056,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,14644,14616,,trabalho-deep-learning-mestrado
gen-1765919783-JQkmPqe4T9UdqFX0eean,2025-12-16 21:16:23.898,0.001628,,-0.000039,0,0,6308,813,810,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,11682,11662,,trabalho-deep-learning-mestrado
gen-1765919768-Oehm3VPdkjIdlUFQQn7X,2025-12-16 21:16:08.522,0.001268,,-0.000022,0,0,3550,1162,1159,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,15334,15324,,trabalho-deep-learning-mestrado
gen-1765919754-UFbj9Jq95Xq0lmpGvZRg,2025-12-16 21:15:54.215,0.001462,,-0.000041,0,0,4961,1024,1021,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,14154,14132,,trabalho-deep-learning-mestrado
gen-1765919749-7xglrXWIVFiyUvd93XsW,2025-12-16 21:15:49.081,0.000395,,-0.000039,0,0,1247,371,368,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,5093,5073,,trabalho-deep-learning-mestrado
gen-1765919741-MOVBxZ01QH2frEaGQ1nm,2025-12-16 21:15:41.961,0.001231,,-0.000042,0,0,4671,681,678,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,7081,7057,,trabalho-deep-learning-mestrado
gen-1765919735-pyWnIJbdHkSKDHTmKRmX,2025-12-16 21:15:35.196,0.001264,,-0.000042,0,0,4680,743,740,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,6718,6696,,trabalho-deep-learning-mestrado
gen-1765919721-34COX7Qvfc1iUHKMpSOS,2025-12-16 21:15:21.303,0.001192,,-0.000042,0,0,4609,626,623,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,13733,13619,,trabalho-deep-learning-mestrado
gen-1765919699-6eUZ8BffuzywcWdE4Dd4,2025-12-16 21:14:59.549,0.001376,,-0.000022,0,0,5081,766,763,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,21707,21683,,trabalho-deep-learning-mestrado
gen-1765919687-yGpATkMi5liQLUFTbI2i,2025-12-16 21:14:47.476,0.001395,,-0.000051,0,0,5129,841,838,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,12027,12001,,trabalho-deep-learning-mestrado
gen-1765919678-jke6hMRRNkOOsuIFRl3x,2025-12-16 21:14:38.266,0.002038,,-0.000022,0,0,8753,621,618,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,9157,9129,,trabalho-deep-learning-mestrado
gen-1765919670-P1WaKvPDQ5enbpYO0yyc,2025-12-16 21:14:30.061,0.00119,,-0.000022,0,0,4387,671,668,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,8052,8029,,trabalho-deep-learning-mestrado
gen-1765919656-GMMDBNk5MAZi8v6UziqJ,2025-12-16 21:14:16.643,0.001243,,-0.000022,0,0,4564,706,703,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,13371,13258,,trabalho-deep-learning-mestrado
gen-1765919649-omBIaY7YpJfFRCe2eoxD,2025-12-16 21:14:09.406,0.00099,,-0.000022,0,0,3919,459,456,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,7187,7160,,trabalho-deep-learning-mestrado
